2018,48,Japón,0,Polonia,1
2022,48,Camerún,1,Brasil,0
2014,49,Brasil,1,Chile,1
2018,49,Francia,4,Argentina,3
2022,49,Países Bajos,3,Estados Unidos,1
2014,50,Colombia,2,Uruguay,0
2018,50,Uruguay,2,Portugal,1
2022,50,Argentina,2,Australia,1
2014,51,Países Bajos,2,México,1
2018,51,España,1,Rusia,1
2022,51,Francia,3,Polonia,1
2014,52,Costa Rica,1,Grecia,1
2018,52,Croacia,1,Dinamarca,1
2022,52,Inglaterra,3,Senegal,0
2014,53,Francia,2,Nigeria,0
2018,53,Brasil,2,México,0
2022,53,Japón,1,Croacia,1
2014,54,Alemania,2,Argelia,1
2018,54,Bélgica,3,Japón,2
2022,54,Brasil,4,Corea del Sur,1
2014,55,Argentina,1,Suiza,0
2018,55,Suiza,0,Sweden,1
2022,55,Marruecos,0,España,0
2014,56,Bélgica,2,Estados Unidos,1
2018,56,Colombia,1,Inglaterra,1
2022,56,Portugal,6,Suiza,1
2014,57,Brasil,2,Colombia,1
2018,57,Uruguay,0,Francia,2
2022,57,Croacia,1,Brasil,1
2014,58,Alemania,1,Francia,0
2018,58,Brasil,1,Bélgica,2
2022,58,Países Bajos,2,Argentina,2
2014,59,Argentina,1,Bélgica,0
2018,59,Sweden,0,Inglaterra,2
2022,59,Marruecos,1,Portugal,0
2014,60,Países Bajos,0,Costa Rica,0
2018,60,Rusia,2,Croacia,2
2022,60,Inglaterra,1,Francia,2
2014,61,Brasil,1,Alemania,7
2018,61,Bélgica,0,Francia,1
2022,61,Croacia,0,Argentina,3
2014,62,Argentina,0,Países Bajos,0
2018,62,Croacia,2,Inglaterra,1
2022,62,Francia,2,Marruecos,0
2014,63,Brasil,0,Países Bajos,3
2018,63,Bélgica,2,Inglaterra,0
2022,63,Croacia,2,Marruecos,1
2014,64,Alemania,1,Argentina,0
2018,64,Francia,4,Croacia,2
2022,64,Argentina,3,Francia,3
