1593,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21599
1618,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21599
1622,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21599
1624,UNIVERSITARIO,SI,INTRODUCCION A JAVA,21599
590,UNIVERSITARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
591,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
592,S/D,S/D,INTRODUCCION A JAVA,21630
593,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
594,TERCIARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
595,TERCIARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
596,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
597,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
598,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
599,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
600,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
601,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
602,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
603,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
604,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
605,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
606,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
607,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
608,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
609,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
610,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
611,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1130,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1151,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1235,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1243,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1249,TERCIARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1259,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
1277,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1300,TERCIARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1315,TERCIARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
